Title,Address,Description,Price,Date added,Seller,Url
2 bedroom flat for sale,"St Andrews Road, GLASGOW",CLOSING DATE FOR OFFERS THURSDAY 1ST JULY 2021 AT 2PM Immaculate traditional two bedroom apartment occupying a prime position within the heart of Pollokshields. Agents highly advise early internal viewings to avoid disappointment.,"£135,000",Added on 22/06/2021,"Allen & Harris, Shawlands Glasgow",www.rightmove.co.uk/properties/79074027
2 bedroom flat for sale,"Dornford Avenue, Mount Vernon, Glasgow, G32","***PLEASE SEE PROFESSIONAL HD VIDEO*** This spacious preferred First Floor Flat is located in the popular and much sought after Mount Vernon district, which lies to the east of Glasgow City Centre. Set within mature landscaped communal garden grounds, this home offers a spacious and we...","£135,000",Added yesterday,"Countrywide, Baillieston",www.rightmove.co.uk/properties/79074027
2 bedroom apartment for sale,"Lowland Court, Stepps","*** New Price ! ***This luxury apartment will appeal to a number of discerning buyers. Maintained and presented to an exceptional standard throughout, the property is a true credit to the existing owners. Located on the ground floor, the flat boasts master bedroom ensuite, dining kitchen, secure ...","£135,000",Reduced on 29/06/2021,"CODA Estates Ltd, Glasgow",www.rightmove.co.uk/properties/109703255
1 bedroom flat for sale,"Brunswick Street, Merchant City, Glasgow, Lanarkshire, G1","Beautifully landscaped and tree lined, Brunswick Street is a vibrant destination and a perfect place to live. Behind a beautiful traditional façade, forming part of Ingram Square, and viewing to the rear onto quiet enclosed resident's gardens the subjects offer reception hallway, spacious ...","£135,000",Added on 10/06/2021,"Slater Hogg & Howison, City Centre, Glasgow",www.rightmove.co.uk/properties/109703255
2 bedroom terraced house for sale,"Fochabers Drive, Glasgow, Lanarkshire, G52","Well presented two bedroom mid terrace villa situated within the central and child friendly residential location of Fochabers Drive, Cardonald. The accommodation on offer comprises entrance hallway, well presented lounge, stylish modern fitted dining kitchen, two good sized bedrooms and impressiv...","£135,000",Added on 30/06/2021,"Countrywide, Shawlands",www.rightmove.co.uk/properties/109664603
1 bedroom flat for sale,"Aidans View, Glasgow, G76 7ER","A SOUTH FACING LARGE ONE BEDROOM RETIREMENT APARTMENT ON THE SECOND FLOOR This development was built by McCarthy & Stone and comprises 45 self-contained apartments on four floors, served by a lift. A bright, sunny, larger-style one bedroom apartment with open views over the residents&...","£135,000",Reduced on 10/03/2021,"Retirement Homesearch, New Milton",www.rightmove.co.uk/properties/109664603
2 bedroom ground floor flat for sale,"2 Peveril Court, Peveril Avenue, Burnside, Glasgow, G73 4RE","A well maintained, and rather spacious, 2 bedroomed flat occupying a raised ground floor level position within this small & extremely sought-after development located only minutes’ walk from a host of amenities on Stonelaw Road.  EPC - D. ","£135,000",Added on 18/06/2021,"Pacitti Jones, Burnside",www.rightmove.co.uk/properties/107728055
2 bedroom flat for sale,"Bankwood Drive, Kilsyth","Kelvin Valley Properties are delighted to present to the market this modern two bedroom first floor flat in the luxury Bankwood Drive development constructed by Dawn Homes in 2011. This property boasts a contemporary interior, and early viewing is advised to avoid missing out.  Internally t...","£134,995",Added on 30/06/2021,"Kelvin Valley Properties, Glasgow",www.rightmove.co.uk/properties/109643294
1 bedroom flat for sale,"Star Mews, Glasgow","Modern 1 bedroom Ground floor Apartment New Neighbours Estate Agents are delighted to offer to the market this tastefully decorated and presented, luxury 1 bedroom ground floor apartment which is situated in a corner position within the renowned and sought after Woodilee Village development on...","£134,000",Added on 15/03/2021,"New Neighbours, Glasgow",www.rightmove.co.uk/properties/109716254
2 bedroom ground floor flat for sale,"Howard Street, Glasgow","This Two Bedroom Modern Style Flat Is Situated Close To The Heart Of Glasgow City Centre, Only A Short Distance From Merchant City, close to local shopping and amenities and just a stones throw from the St ENOCH shopping centre. The property is in good order internally with bright, fresh decor t...","£133,000",Added on 08/02/2021,"Castlehead Properties, Paisle",www.rightmove.co.uk/properties/109716254
